model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
LeNet,cnn,0.8466145833333333,0.8438754520433109,0.8540250029207491,0.8466145833333307,1011.29806317389,0.014006724813953,73726.0,0.073726,18.0,0.6708285158494358,0.8446428571428571,0.8452228222747932,0.3763976693153381,2656.764591074608,0.0101837777765467,98195.38701080048
ResNet18,cnn,0.9002604166666667,0.8978534483119556,0.9081042562287543,0.9002604166666637,1412.1044908147303,0.1582489814609289,11424140.0,11.42414,23.0,0.562384121975617,0.924702380952381,0.92458564125844,6.213138550519943,160.94925163326923,0.0558176659978926,17915.475004593613
MobileNet_V2,cnn,0.89296875,0.8896481495139733,0.9013971234868388,0.892968749999997,1897.89472088404,0.6426766864024103,2261420.0,2.26142,13.0,0.2828145353495886,0.9273809523809524,0.9271529226406018,3.2302570901811123,309.57288292614896,0.1087134209228679,9198.49629890222
EfficientNet_B0,cnn,0.9013020833333332,0.898152630312966,0.9097282695107572,0.9013020833333304,1599.5684263035655,0.2805494121275842,4045096.0,4.045096,17.0,0.3697225163091562,0.925,0.9250871570809668,5.49523351714015,181.9758881730696,0.1960044191218912,5101.925785551395
LSTM,temporal,0.86015625,0.8592553053717359,0.8618756491633097,0.8601562499999972,925.3582399599254,0.0278399820672348,595724.0,0.595724,25.0,0.8957372441490103,0.8467261904761905,0.8459842444337401,0.5339654162526131,1872.780463982168,0.0198633625404909,50343.94342657378
GRU,temporal,0.84375,0.8427148034042018,0.847312433074388,0.8437499999999973,919.5144679509104,0.0119117874419316,513292.0,0.513292,20.0,0.8536027722809064,0.8464285714285714,0.8462094413193535,0.6808040477335453,1468.8514313760109,0.0128193764248862,78006.91444388025
CNN_LSTM,temporal,0.8981770833333333,0.8970080741567951,0.9102214974030868,0.8981770833333305,1779.8059296961874,0.5695784115232527,11500492.0,11.500492,22.0,0.4259840418455063,0.9241071428571428,0.9238653753444844,1.926765963435173,519.0043933603281,0.5567147972760722,1796.2518777888793
LeNet_LSTM,temporal,0.8989583333333333,0.8982716566960723,0.9077159035356472,0.8989583333333305,955.3885278757662,0.1793815739802085,331708.0,0.331708,18.0,0.4253678763906161,0.9071428571428573,0.9063231808944544,0.8769337646663189,1140.3369790197426,0.1702990802004933,5872.022319925032
TCN,temporal,0.8315104166666667,0.8315761642682457,0.8399183243696631,0.8315104166666641,1232.3880033157766,0.1070077007170766,2083724.0,2.083724,23.0,1.3583889990800382,0.8514880952380952,0.8514074060699279,2.446093894541264,408.8150508987466,0.0919708900619298,10873.005570856569
Transformer,attention,0.7252604166666666,0.7183564205879626,0.721458804301141,0.7252604166666644,1263.057801451534,0.0593204458709806,259052.0,0.259052,24.0,2.38078789712423,0.7032738095238096,0.7019784873751228,0.7022401131689548,1424.0143524233654,0.0445850339019671,22429.05101740608
LeNet,cnn,0.871875,0.8708893885617055,0.874303066996311,0.8718749999999972,665.5386191327125,0.0134864589199423,73726.0,0.073726,25.0,0.4924218962143684,0.8872023809523809,0.8877379221660111,0.3831276670098305,2610.0960230949377,0.010225215810351,97797.44687517417
ResNet18,cnn,0.9028645833333332,0.9021678386815192,0.904385642852393,0.9028645833333304,1018.9383797068148,0.1800142403226345,11424140.0,11.42414,14.0,0.3747065326533608,0.9386904761904762,0.9387235881632882,1.6668090410530567,599.9487495989463,0.0568815926089882,17580.379770203243
MobileNet_V2,cnn,0.91640625,0.9165119600971794,0.9185358482518188,0.916406249999997,1534.0327910035849,0.3604613651987165,2261420.0,2.26142,24.0,0.4427196591156348,0.9333333333333332,0.933191939974718,3.4031503088772297,293.8453812608474,0.1171716238604858,8534.489555173204
EfficientNet_B0,cnn,0.909375,0.9088232390908192,0.91007608935393,0.909374999999997,1191.9861607085911,0.3285636426880955,4045096.0,4.045096,22.0,0.3090950083761131,0.9455357142857144,0.945163401218661,5.485009625554085,182.31508570944067,0.3827941283816471,2612.3702686552087
LSTM,temporal,0.8458333333333333,0.8462681420682486,0.8510128751096393,0.8458333333333306,574.1362521164119,0.0347793451510369,595724.0,0.595724,17.0,0.6910144004760133,0.8607142857142858,0.8615569619143955,0.8525696396827698,1172.9247130733943,0.0230140681378543,43451.68329258421
GRU,temporal,0.8419270833333333,0.8417763641235645,0.8452079037819221,0.8419270833333307,575.2312331739813,0.0118835683679208,513292.0,0.513292,16.0,0.7054653304446089,0.8723214285714286,0.872710548344881,0.5747362039983273,1739.9286716987651,0.0120095792226493,83266.86401419133
CNN_LSTM,temporal,0.91640625,0.9160903297638864,0.9173285387114564,0.9164062499999972,1427.56359353289,0.55871490330901,11500492.0,11.500492,18.0,0.4181317026943794,0.9211309523809524,0.9211615337736088,1.866975650191307,535.6256252712942,0.5591941432794556,1788.2876850880268
LeNet_LSTM,temporal,0.9096354166666668,0.9093569887720326,0.9140400075752612,0.909635416666664,620.3858625087887,0.1728540431940928,331708.0,0.331708,11.0,0.3148896154104953,0.9166666666666666,0.9170950902569216,2.9907592944800854,334.3632507790435,0.1718686788808554,5818.395803770798
TCN,temporal,0.8526041666666667,0.8516048316391572,0.854168553421863,0.8526041666666639,985.534716375172,0.0925578293390572,2083724.0,2.083724,17.0,0.9709273541786484,0.8705357142857143,0.8711534532032402,1.0527555644512177,949.8881162611398,0.0356404145713895,28058.0350151918
Transformer,attention,0.7268229166666667,0.7230770858301364,0.7244407960970595,0.7268229166666643,979.8027371820062,0.0482088245917111,259052.0,0.259052,20.0,2.0543456173369217,0.7366071428571429,0.7353941376209591,0.6738991104066372,1483.9016472311268,0.0193131348351016,51778.23323547133
LeNet,cnn,0.8375,0.8357194541745473,0.8435859725248783,0.8374999999999972,730.7302962131798,0.013756362022832,73726.0,0.073726,14.0,0.5562318963668422,0.8738095238095238,0.8738323498717923,0.3687338903546333,2711.982885647534,0.0103282189229503,96822.11497065584
ResNet18,cnn,0.9307291666666668,0.930046913611429,0.9355367024421458,0.9307291666666636,1131.914466790855,0.2451608073897659,11424140.0,11.42414,19.0,0.6065669856549687,0.9345238095238096,0.9350004116826784,5.553525388240814,180.06580146683532,0.1744467148091644,5732.4094701006425
MobileNet_V2,cnn,0.9236979166666668,0.9230946630032816,0.9247628728698124,0.9236979166666636,1609.193579370156,0.3423684218432754,2261420.0,2.26142,23.0,0.700843030099266,0.9267857142857144,0.9267959640582728,3.2192954048514366,310.6269770997135,0.151639562100172,6594.5851211269455
EfficientNet_B0,cnn,0.92578125,0.925709137056852,0.9261572578313604,0.9257812499999972,1289.9563687499613,0.2792239043628797,4045096.0,4.045096,24.0,0.6092660699905883,0.9294642857142856,0.930114856675389,5.449642315506935,183.49828155776464,0.1747695257654413,5721.821327947658
LSTM,temporal,0.834375,0.8344269982835432,0.8399340015391492,0.8343749999999973,690.3089556563646,0.0189938116818666,595724.0,0.595724,20.0,0.6755049736151705,0.8925595238095239,0.8940990582447309,0.5410885810852051,1848.1262310034413,0.0197920756181702,50525.2717952404
GRU,temporal,0.8434895833333333,0.8423491665890817,0.8486258142463962,0.8434895833333306,580.0648963674903,0.0167650257935747,513292.0,0.513292,13.0,0.7664591785847387,0.8767857142857143,0.8774435052209365,0.6611858680844307,1512.4340193434143,0.0119023903971537,84016.73669174293
CNN_LSTM,temporal,0.896875,0.8971346247762506,0.8990335012444746,0.896874999999997,1386.1790720093995,0.5858021031599492,11500492.0,11.500492,11.0,0.5119184786381776,0.9020833333333332,0.9023950690869804,1.8912469781935213,528.7516710034237,0.5555495712906122,1800.019389227271
LeNet_LSTM,temporal,0.9041666666666668,0.9047657306121504,0.9103413754169646,0.9041666666666638,621.7355463951826,0.1746610185364261,331708.0,0.331708,15.0,0.450024272758691,0.911904761904762,0.9135892033404605,0.5088132806122303,1965.3575055995957,0.1711129822069779,5844.091939151655
TCN,temporal,0.8393229166666667,0.839535540743498,0.8439120036096868,0.8393229166666639,884.0166103895754,0.1518548873718828,2083724.0,2.083724,22.0,1.4596629447536469,0.8681547619047619,0.8703927376301578,5.162406899034977,193.7080938325363,0.2110578026622533,4738.038524926067
Transformer,attention,0.7127604166666667,0.7065450507457571,0.7128839438766819,0.7127604166666645,869.5089558921754,0.0566821254324168,259052.0,0.259052,21.0,1.801233629425871,0.76875,0.7668193808224756,0.7334614545106888,1363.3981633937751,0.050106985727325,19957.297081126657
LeNet,cnn,0.8341145833333333,0.8329702632864584,0.8377148673816319,0.8341145833333306,680.0976350661367,0.0134513480588793,73726.0,0.073726,15.0,0.6090842348758521,0.8589285714285714,0.8602281219642286,0.6496723555028439,1539.2374194927902,0.0197208195459097,50707.83177504441
