model,category,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,training_seconds_mean,training_seconds_std,inference_ms_mean,inference_ms_std,params_m
Transformer,attention,0.7186197916666667,0.025764511845755515,0.7157454619089847,0.02683612926270471,0.719363404069119,0.02648119091319599,0.7186197916666643,0.025764511845755435,922.8521704215557,125.00414425508644,0.04665171785745764,0.010300521182072917,0.259052
ResNet18,cnn,0.9209635416666666,0.017738625540953762,0.9203351887073167,0.018151563329629097,0.9247230251995842,0.015670869892656272,0.9209635416666637,0.01773862554095368,1079.4659565716981,121.61345890727483,0.2507189899915829,0.1321633845045311,11.42414
EfficientNet_B0,cnn,0.9191927083333333,0.013735069448833329,0.9184894137280875,0.014343578953319783,0.9216995349478593,0.011836945541190311,0.9191927083333304,0.013735069448833275,1262.0851501097902,126.20992104197724,0.2998954817303456,0.07290551808217988,4.045096
MobileNet_V2,cnn,0.9158072916666666,0.0141250804464141,0.9149506366839206,0.014706352570524064,0.9192930988245596,0.011939978854483734,0.9158072916666636,0.014125080446414058,1569.2449712846428,123.70375107692773,0.4261607793159783,0.11701496949655202,2.26142
LeNet,cnn,0.8621874999999999,0.022367822707401664,0.861170977141799,0.0228954676544954,0.8650043147669066,0.021242240685056077,0.8621874999999972,0.022367822707401577,718.0479489639401,104.53486233543758,0.01365671691019083,0.0001780716709101484,0.073726
LeNet_LSTM,temporal,0.8995052083333335,0.009732641056704914,0.8995333881043484,0.009596130837867882,0.9044071202375565,0.009984810483939047,0.8995052083333304,0.009732641056704868,657.6298091374338,104.66422462421293,0.17581690161023283,0.0068509580626846195,0.331708
CNN_LSTM,temporal,0.896796875,0.016263502114019935,0.8961995888790579,0.01682008980083069,0.9001228558044498,0.01678429322294364,0.896796874999997,0.01626350211401995,1460.074876738526,134.27853015468014,0.5674813006771728,0.010825561012496394,11.500492
GRU,temporal,0.8418229166666666,0.018317905703635545,0.8414275874719472,0.018796402384290783,0.8458260974493752,0.018827341999701735,0.841822916666664,0.01831790570363546,616.9290325688198,106.47676932797663,0.01976544968783851,0.010277455391829093,0.513292
LSTM,temporal,0.8369270833333333,0.019461797811971895,0.8366548254624726,0.019781964620829866,0.8405489272818217,0.020393570950814274,0.8369270833333307,0.01946179781197179,632.0700805043801,108.24063541410557,0.026913201727438663,0.008623145181135324,0.595724
TCN,temporal,0.8324739583333333,0.017618769454342213,0.8325455311919636,0.01802761017088516,0.8375756888890736,0.017899324600720884,0.8324739583333306,0.01761876945434215,930.9158123791218,112.65041250735447,0.1059654349228367,0.022710183008685925,2.083724
