model,display_name,seed,lr,weight_decay,batch_size,epochs,optimizer,scheduler,model_kwargs_json,param_count,best_config_source
LeNet,LeNet,42,0.0005,0.0001,16,25,AdamW,ReduceLROnPlateau,{},73726.0,best_config_path
ResNet18,ResNet18,42,0.0007,0.0001,16,25,AdamW,ReduceLROnPlateau,{},11424140.0,best_config_path
MobileNet_V2,MobileNet_V2,42,0.0006,0.0003,16,25,AdamW,ReduceLROnPlateau,{},2261420.0,best_config_path
EfficientNet_B0,EfficientNet_B0,42,0.0007,0.001,32,25,AdamW,ReduceLROnPlateau,{},4045096.0,best_config_path
LSTM,LSTM,42,0.0006,0.0003,32,25,AdamW,ReduceLROnPlateau,"{""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}",595724.0,best_config_path
GRU,GRU,42,0.0006,0.0003,32,25,AdamW,ReduceLROnPlateau,"{""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}",513292.0,best_config_path
CNN_LSTM,CNN_LSTM,42,0.0003,0.0001,32,25,AdamW,ReduceLROnPlateau,"{""lstm_hidden"": 128, ""dropout"": 0.5}",11500492.0,best_config_path
LeNet_LSTM,LeNet_LSTM,42,0.0006,0.0001,64,25,AdamW,ReduceLROnPlateau,"{""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}",331708.0,best_config_path
TCN,TCN,42,0.0001,0.003,16,25,AdamW,ReduceLROnPlateau,"{""num_channels"": 128, ""dropout"": 0.3}",2083724.0,best_config_path
Transformer,Transformer,42,0.0001,0.0003,16,25,AdamW,CosineAnnealingWarmRestarts,"{""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}",259052.0,best_config_path
LeNet,LeNet,43,0.0005,0.0001,16,25,AdamW,ReduceLROnPlateau,{},73726.0,best_config_path
ResNet18,ResNet18,43,0.0007,0.0001,16,25,AdamW,ReduceLROnPlateau,{},11424140.0,best_config_path
MobileNet_V2,MobileNet_V2,43,0.0006,0.0003,16,25,AdamW,ReduceLROnPlateau,{},2261420.0,best_config_path
EfficientNet_B0,EfficientNet_B0,43,0.0007,0.001,32,25,AdamW,ReduceLROnPlateau,{},4045096.0,best_config_path
LSTM,LSTM,43,0.0006,0.0003,32,25,AdamW,ReduceLROnPlateau,"{""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}",595724.0,best_config_path
GRU,GRU,43,0.0006,0.0003,32,25,AdamW,ReduceLROnPlateau,"{""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}",513292.0,best_config_path
CNN_LSTM,CNN_LSTM,43,0.0003,0.0001,32,25,AdamW,ReduceLROnPlateau,"{""lstm_hidden"": 128, ""dropout"": 0.5}",11500492.0,best_config_path
LeNet_LSTM,LeNet_LSTM,43,0.0006,0.0001,64,25,AdamW,ReduceLROnPlateau,"{""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}",331708.0,best_config_path
TCN,TCN,43,0.0001,0.003,16,25,AdamW,ReduceLROnPlateau,"{""num_channels"": 128, ""dropout"": 0.3}",2083724.0,best_config_path
Transformer,Transformer,43,0.0001,0.0003,16,25,AdamW,CosineAnnealingWarmRestarts,"{""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}",259052.0,best_config_path
LeNet,LeNet,44,0.0005,0.0001,16,25,AdamW,ReduceLROnPlateau,{},73726.0,best_config_path
ResNet18,ResNet18,44,0.0007,0.0001,16,25,AdamW,ReduceLROnPlateau,{},11424140.0,best_config_path
