model,seed,true_label,pred_label,count
CNN_LSTM,47,0,0,305
CNN_LSTM,47,0,1,0
CNN_LSTM,47,0,2,1
CNN_LSTM,47,0,3,0
CNN_LSTM,47,0,4,0
CNN_LSTM,47,0,5,0
CNN_LSTM,47,0,6,0
CNN_LSTM,47,0,7,0
CNN_LSTM,47,0,8,14
CNN_LSTM,47,0,9,0
CNN_LSTM,47,0,10,0
CNN_LSTM,47,0,11,0
CNN_LSTM,47,1,0,0
CNN_LSTM,47,1,1,317
CNN_LSTM,47,1,2,0
CNN_LSTM,47,1,3,0
CNN_LSTM,47,1,4,0
CNN_LSTM,47,1,5,1
CNN_LSTM,47,1,6,0
CNN_LSTM,47,1,7,0
CNN_LSTM,47,1,8,0
CNN_LSTM,47,1,9,0
CNN_LSTM,47,1,10,0
CNN_LSTM,47,1,11,2
CNN_LSTM,47,2,0,0
CNN_LSTM,47,2,1,0
CNN_LSTM,47,2,2,318
CNN_LSTM,47,2,3,0
CNN_LSTM,47,2,4,0
CNN_LSTM,47,2,5,0
CNN_LSTM,47,2,6,0
CNN_LSTM,47,2,7,1
CNN_LSTM,47,2,8,1
CNN_LSTM,47,2,9,0
CNN_LSTM,47,2,10,0
CNN_LSTM,47,2,11,0
CNN_LSTM,47,3,0,0
CNN_LSTM,47,3,1,0
CNN_LSTM,47,3,2,0
CNN_LSTM,47,3,3,222
CNN_LSTM,47,3,4,1
CNN_LSTM,47,3,5,0
CNN_LSTM,47,3,6,84
CNN_LSTM,47,3,7,0
CNN_LSTM,47,3,8,0
CNN_LSTM,47,3,9,1
CNN_LSTM,47,3,10,0
CNN_LSTM,47,3,11,12
CNN_LSTM,47,4,0,0
CNN_LSTM,47,4,1,1
CNN_LSTM,47,4,2,0
CNN_LSTM,47,4,3,0
CNN_LSTM,47,4,4,319
CNN_LSTM,47,4,5,0
CNN_LSTM,47,4,6,0
CNN_LSTM,47,4,7,0
CNN_LSTM,47,4,8,0
CNN_LSTM,47,4,9,0
CNN_LSTM,47,4,10,0
CNN_LSTM,47,4,11,0
CNN_LSTM,47,5,0,0
CNN_LSTM,47,5,1,0
CNN_LSTM,47,5,2,0
CNN_LSTM,47,5,3,0
CNN_LSTM,47,5,4,0
CNN_LSTM,47,5,5,314
CNN_LSTM,47,5,6,0
CNN_LSTM,47,5,7,4
CNN_LSTM,47,5,8,0
CNN_LSTM,47,5,9,0
CNN_LSTM,47,5,10,2
CNN_LSTM,47,5,11,0
CNN_LSTM,47,6,0,0
CNN_LSTM,47,6,1,0
CNN_LSTM,47,6,2,0
CNN_LSTM,47,6,3,30
CNN_LSTM,47,6,4,0
CNN_LSTM,47,6,5,0
CNN_LSTM,47,6,6,276
CNN_LSTM,47,6,7,1
CNN_LSTM,47,6,8,0
CNN_LSTM,47,6,9,2
CNN_LSTM,47,6,10,0
CNN_LSTM,47,6,11,11
CNN_LSTM,47,7,0,0
CNN_LSTM,47,7,1,0
CNN_LSTM,47,7,2,0
CNN_LSTM,47,7,3,0
CNN_LSTM,47,7,4,0
CNN_LSTM,47,7,5,0
CNN_LSTM,47,7,6,0
CNN_LSTM,47,7,7,313
CNN_LSTM,47,7,8,1
CNN_LSTM,47,7,9,0
CNN_LSTM,47,7,10,5
CNN_LSTM,47,7,11,1
CNN_LSTM,47,8,0,5
CNN_LSTM,47,8,1,0
CNN_LSTM,47,8,2,53
CNN_LSTM,47,8,3,0
CNN_LSTM,47,8,4,0
CNN_LSTM,47,8,5,4
CNN_LSTM,47,8,6,0
CNN_LSTM,47,8,7,1
CNN_LSTM,47,8,8,254
CNN_LSTM,47,8,9,1
CNN_LSTM,47,8,10,2
CNN_LSTM,47,8,11,0
CNN_LSTM,47,9,0,0
CNN_LSTM,47,9,1,0
CNN_LSTM,47,9,2,0
CNN_LSTM,47,9,3,0
CNN_LSTM,47,9,4,33
CNN_LSTM,47,9,5,0
CNN_LSTM,47,9,6,0
CNN_LSTM,47,9,7,0
CNN_LSTM,47,9,8,0
CNN_LSTM,47,9,9,287
CNN_LSTM,47,9,10,0
CNN_LSTM,47,9,11,0
CNN_LSTM,47,10,0,0
CNN_LSTM,47,10,1,0
CNN_LSTM,47,10,2,0
CNN_LSTM,47,10,3,0
CNN_LSTM,47,10,4,0
CNN_LSTM,47,10,5,0
CNN_LSTM,47,10,6,0
CNN_LSTM,47,10,7,10
CNN_LSTM,47,10,8,3
CNN_LSTM,47,10,9,0
CNN_LSTM,47,10,10,306
CNN_LSTM,47,10,11,1
CNN_LSTM,47,11,0,1
CNN_LSTM,47,11,1,0
CNN_LSTM,47,11,2,0
CNN_LSTM,47,11,3,26
CNN_LSTM,47,11,4,1
CNN_LSTM,47,11,5,0
CNN_LSTM,47,11,6,13
CNN_LSTM,47,11,7,0
CNN_LSTM,47,11,8,0
CNN_LSTM,47,11,9,6
CNN_LSTM,47,11,10,0
CNN_LSTM,47,11,11,273
