model,seed,true_label,pred_label,count
EfficientNet_B0,47,0,0,318
EfficientNet_B0,47,0,1,0
EfficientNet_B0,47,0,2,1
EfficientNet_B0,47,0,3,0
EfficientNet_B0,47,0,4,0
EfficientNet_B0,47,0,5,0
EfficientNet_B0,47,0,6,0
EfficientNet_B0,47,0,7,0
EfficientNet_B0,47,0,8,1
EfficientNet_B0,47,0,9,0
EfficientNet_B0,47,0,10,0
EfficientNet_B0,47,0,11,0
EfficientNet_B0,47,1,0,0
EfficientNet_B0,47,1,1,318
EfficientNet_B0,47,1,2,0
EfficientNet_B0,47,1,3,2
EfficientNet_B0,47,1,4,0
EfficientNet_B0,47,1,5,0
EfficientNet_B0,47,1,6,0
EfficientNet_B0,47,1,7,0
EfficientNet_B0,47,1,8,0
EfficientNet_B0,47,1,9,0
EfficientNet_B0,47,1,10,0
EfficientNet_B0,47,1,11,0
EfficientNet_B0,47,2,0,0
EfficientNet_B0,47,2,1,0
EfficientNet_B0,47,2,2,312
EfficientNet_B0,47,2,3,1
EfficientNet_B0,47,2,4,0
EfficientNet_B0,47,2,5,0
EfficientNet_B0,47,2,6,0
EfficientNet_B0,47,2,7,7
EfficientNet_B0,47,2,8,0
EfficientNet_B0,47,2,9,0
EfficientNet_B0,47,2,10,0
EfficientNet_B0,47,2,11,0
EfficientNet_B0,47,3,0,0
EfficientNet_B0,47,3,1,0
EfficientNet_B0,47,3,2,0
EfficientNet_B0,47,3,3,253
EfficientNet_B0,47,3,4,0
EfficientNet_B0,47,3,5,0
EfficientNet_B0,47,3,6,67
EfficientNet_B0,47,3,7,0
EfficientNet_B0,47,3,8,0
EfficientNet_B0,47,3,9,0
EfficientNet_B0,47,3,10,0
EfficientNet_B0,47,3,11,0
EfficientNet_B0,47,4,0,0
EfficientNet_B0,47,4,1,0
EfficientNet_B0,47,4,2,0
EfficientNet_B0,47,4,3,0
EfficientNet_B0,47,4,4,319
EfficientNet_B0,47,4,5,0
EfficientNet_B0,47,4,6,0
EfficientNet_B0,47,4,7,0
EfficientNet_B0,47,4,8,0
EfficientNet_B0,47,4,9,1
EfficientNet_B0,47,4,10,0
EfficientNet_B0,47,4,11,0
EfficientNet_B0,47,5,0,0
EfficientNet_B0,47,5,1,0
EfficientNet_B0,47,5,2,0
EfficientNet_B0,47,5,3,0
EfficientNet_B0,47,5,4,0
EfficientNet_B0,47,5,5,314
EfficientNet_B0,47,5,6,0
EfficientNet_B0,47,5,7,2
EfficientNet_B0,47,5,8,0
EfficientNet_B0,47,5,9,1
EfficientNet_B0,47,5,10,3
EfficientNet_B0,47,5,11,0
EfficientNet_B0,47,6,0,0
EfficientNet_B0,47,6,1,1
EfficientNet_B0,47,6,2,0
EfficientNet_B0,47,6,3,62
EfficientNet_B0,47,6,4,0
EfficientNet_B0,47,6,5,0
EfficientNet_B0,47,6,6,254
EfficientNet_B0,47,6,7,1
EfficientNet_B0,47,6,8,0
EfficientNet_B0,47,6,9,0
EfficientNet_B0,47,6,10,0
EfficientNet_B0,47,6,11,2
EfficientNet_B0,47,7,0,0
EfficientNet_B0,47,7,1,0
EfficientNet_B0,47,7,2,0
EfficientNet_B0,47,7,3,0
EfficientNet_B0,47,7,4,0
EfficientNet_B0,47,7,5,0
EfficientNet_B0,47,7,6,0
EfficientNet_B0,47,7,7,281
EfficientNet_B0,47,7,8,5
EfficientNet_B0,47,7,9,2
EfficientNet_B0,47,7,10,29
EfficientNet_B0,47,7,11,3
EfficientNet_B0,47,8,0,0
EfficientNet_B0,47,8,1,0
EfficientNet_B0,47,8,2,0
EfficientNet_B0,47,8,3,0
EfficientNet_B0,47,8,4,0
EfficientNet_B0,47,8,5,1
EfficientNet_B0,47,8,6,0
EfficientNet_B0,47,8,7,0
EfficientNet_B0,47,8,8,314
EfficientNet_B0,47,8,9,1
EfficientNet_B0,47,8,10,4
EfficientNet_B0,47,8,11,0
EfficientNet_B0,47,9,0,0
EfficientNet_B0,47,9,1,0
EfficientNet_B0,47,9,2,0
EfficientNet_B0,47,9,3,0
EfficientNet_B0,47,9,4,0
EfficientNet_B0,47,9,5,0
EfficientNet_B0,47,9,6,0
EfficientNet_B0,47,9,7,0
EfficientNet_B0,47,9,8,0
EfficientNet_B0,47,9,9,317
EfficientNet_B0,47,9,10,3
EfficientNet_B0,47,9,11,0
EfficientNet_B0,47,10,0,0
EfficientNet_B0,47,10,1,0
EfficientNet_B0,47,10,2,0
EfficientNet_B0,47,10,3,0
EfficientNet_B0,47,10,4,0
EfficientNet_B0,47,10,5,0
EfficientNet_B0,47,10,6,0
EfficientNet_B0,47,10,7,10
EfficientNet_B0,47,10,8,2
EfficientNet_B0,47,10,9,0
EfficientNet_B0,47,10,10,307
EfficientNet_B0,47,10,11,1
EfficientNet_B0,47,11,0,0
EfficientNet_B0,47,11,1,0
EfficientNet_B0,47,11,2,0
EfficientNet_B0,47,11,3,0
EfficientNet_B0,47,11,4,0
EfficientNet_B0,47,11,5,0
EfficientNet_B0,47,11,6,0
EfficientNet_B0,47,11,7,0
EfficientNet_B0,47,11,8,1
EfficientNet_B0,47,11,9,0
EfficientNet_B0,47,11,10,0
EfficientNet_B0,47,11,11,319
