model,seed,class_id,class_name,precision,recall,f1,support
GRU,45,0,class_0,0.8952380952380923,0.8812499999999972,0.8881889763774499,320
GRU,45,1,class_1,0.8275862068965488,0.7499999999999976,0.786885245901138,320
GRU,45,2,class_2,0.8100263852242722,0.959374999999997,0.8783977110152377,320
GRU,45,3,class_3,0.6946564885496165,0.8531249999999972,0.7657784011215226,320
GRU,45,4,class_4,0.8993506493506463,0.8656249999999972,0.8821656050950386,320
GRU,45,5,class_5,0.8739495798319302,0.9749999999999969,0.921713441653856,320
GRU,45,6,class_6,0.7216494845360799,0.6562499999999979,0.6873977086738032,320
GRU,45,7,class_7,0.9597069597069561,0.8187499999999974,0.8836424957836484,320
GRU,45,8,class_8,0.9054878048780459,0.928124999999997,0.9166666666661637,320
GRU,45,9,class_9,0.9801980198019768,0.928124999999997,0.9534510433381809,320
GRU,45,10,class_10,0.9716981132075441,0.965624999999997,0.9686520376170517,320
GRU,45,11,class_11,0.9017543859649091,0.8031249999999974,0.849586776859003,320
