model,seed,true_label,pred_label,count
GRU,48,0,0,261
GRU,48,0,1,1
GRU,48,0,2,21
GRU,48,0,3,0
GRU,48,0,4,0
GRU,48,0,5,9
GRU,48,0,6,3
GRU,48,0,7,3
GRU,48,0,8,17
GRU,48,0,9,1
GRU,48,0,10,1
GRU,48,0,11,3
GRU,48,1,0,1
GRU,48,1,1,273
GRU,48,1,2,0
GRU,48,1,3,0
GRU,48,1,4,2
GRU,48,1,5,38
GRU,48,1,6,2
GRU,48,1,7,0
GRU,48,1,8,0
GRU,48,1,9,0
GRU,48,1,10,3
GRU,48,1,11,1
GRU,48,2,0,9
GRU,48,2,1,1
GRU,48,2,2,221
GRU,48,2,3,0
GRU,48,2,4,0
GRU,48,2,5,4
GRU,48,2,6,1
GRU,48,2,7,72
GRU,48,2,8,8
GRU,48,2,9,1
GRU,48,2,10,1
GRU,48,2,11,2
GRU,48,3,0,5
GRU,48,3,1,2
GRU,48,3,2,0
GRU,48,3,3,198
GRU,48,3,4,2
GRU,48,3,5,0
GRU,48,3,6,94
GRU,48,3,7,1
GRU,48,3,8,2
GRU,48,3,9,2
GRU,48,3,10,1
GRU,48,3,11,13
GRU,48,4,0,17
GRU,48,4,1,33
GRU,48,4,2,1
GRU,48,4,3,1
GRU,48,4,4,214
GRU,48,4,5,17
GRU,48,4,6,2
GRU,48,4,7,1
GRU,48,4,8,0
GRU,48,4,9,29
GRU,48,4,10,3
GRU,48,4,11,2
GRU,48,5,0,3
GRU,48,5,1,9
GRU,48,5,2,0
GRU,48,5,3,0
GRU,48,5,4,1
GRU,48,5,5,302
GRU,48,5,6,0
GRU,48,5,7,0
GRU,48,5,8,2
GRU,48,5,9,0
GRU,48,5,10,2
GRU,48,5,11,1
GRU,48,6,0,2
GRU,48,6,1,3
GRU,48,6,2,0
GRU,48,6,3,62
GRU,48,6,4,11
GRU,48,6,5,0
GRU,48,6,6,209
GRU,48,6,7,1
GRU,48,6,8,0
GRU,48,6,9,4
GRU,48,6,10,0
GRU,48,6,11,28
GRU,48,7,0,1
GRU,48,7,1,3
GRU,48,7,2,0
GRU,48,7,3,0
GRU,48,7,4,1
GRU,48,7,5,0
GRU,48,7,6,1
GRU,48,7,7,290
GRU,48,7,8,5
GRU,48,7,9,3
GRU,48,7,10,11
GRU,48,7,11,5
GRU,48,8,0,19
GRU,48,8,1,1
GRU,48,8,2,5
GRU,48,8,3,0
GRU,48,8,4,0
GRU,48,8,5,0
GRU,48,8,6,0
GRU,48,8,7,5
GRU,48,8,8,281
GRU,48,8,9,0
GRU,48,8,10,5
GRU,48,8,11,4
GRU,48,9,0,1
GRU,48,9,1,12
GRU,48,9,2,0
GRU,48,9,3,2
GRU,48,9,4,12
GRU,48,9,5,6
GRU,48,9,6,0
GRU,48,9,7,0
GRU,48,9,8,2
GRU,48,9,9,279
GRU,48,9,10,2
GRU,48,9,11,4
GRU,48,10,0,0
GRU,48,10,1,0
GRU,48,10,2,1
GRU,48,10,3,0
GRU,48,10,4,0
GRU,48,10,5,6
GRU,48,10,6,0
GRU,48,10,7,6
GRU,48,10,8,4
GRU,48,10,9,2
GRU,48,10,10,300
GRU,48,10,11,1
GRU,48,11,0,2
GRU,48,11,1,9
GRU,48,11,2,1
GRU,48,11,3,32
GRU,48,11,4,1
GRU,48,11,5,0
GRU,48,11,6,33
GRU,48,11,7,4
GRU,48,11,8,0
GRU,48,11,9,9
GRU,48,11,10,0
GRU,48,11,11,229
