model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
LSTM,44,1,1.3037952016648793,0.5373214285714286,0.7319391965986273,0.8445843825737636,0.6925595238095238,0.6759576011885935,1.045443169089655,0.6372395833333333,0.6313308298011988,0.0006,24.639315700158477
LSTM,44,2,0.6183746641022818,0.7741666666666667,0.848257482814449,0.6888816239223594,0.7678571428571429,0.7632219575853189,0.8402279408027729,0.69921875,0.6945218155408129,0.0006,133.34943087399006
LSTM,44,3,0.411787733293715,0.8544642857142857,0.8859000271117764,0.6416614009688298,0.7860119047619047,0.7821308165705142,0.8412969548410426,0.7205729166666667,0.7146153048349294,0.0006,23.32251014187932
LSTM,44,4,0.28322534632115137,0.9074404761904762,0.9422719360831368,0.5901604220847644,0.8267857142857142,0.8285131290454791,0.684360268448169,0.7872395833333333,0.786423846294087,0.0006,22.006280278787017
LSTM,44,5,0.21656847764338766,0.9316071428571429,0.9600301651255583,0.4965401628586863,0.8592261904761904,0.8598494065953899,0.7505339634449532,0.79140625,0.7887695944082722,0.0006,23.575987236574292
LSTM,44,6,0.1561463822282496,0.9525595238095238,0.9742927361035068,0.5233990219421685,0.8699404761904762,0.8707646380044979,0.6847445973505576,0.80546875,0.8057490276303464,0.0006,22.7290847171098
LSTM,44,7,0.12438457867219335,0.9630952380952381,0.9645937805165888,0.6294456378445916,0.8392857142857143,0.8394635475169917,0.8049098074358577,0.78203125,0.7785735232301095,0.0006,21.862483885139227
LSTM,44,8,0.12222431652602696,0.9620833333333333,0.9791828000475254,0.5674626399663144,0.862202380952381,0.8633740548141491,0.6823131930005426,0.8125,0.8129202831076258,0.0003,25.175188329070807
LSTM,44,9,0.06033592261728786,0.9832738095238095,0.9939279492238056,0.5268469334945881,0.8895833333333333,0.8904688817259188,0.7297290416201576,0.8161458333333333,0.8172403949308235,0.0003,23.15095185674727
LSTM,44,10,0.03225499659776688,0.9918452380952381,0.9954761387080913,0.6349422613857314,0.8690476190476191,0.8719181426273487,0.8049526047660038,0.8177083333333334,0.8165859706072979,0.0003,21.987401962280273
LSTM,44,11,0.026132738845688955,0.993452380952381,0.9970827181169352,0.5685823715984866,0.8889880952380952,0.8900628055069958,0.7225002033393442,0.8364583333333333,0.8360675931565442,0.00015,23.64170253276825
LSTM,44,12,0.017187277390843345,0.9967857142857143,0.9989285700689775,0.6168107737156485,0.8866071428571428,0.888734800769262,0.8029666964478869,0.83359375,0.8328615831041342,0.00015,23.923811884596944
LSTM,44,13,0.01263942919316746,0.9973809523809524,0.9981547629899241,0.6169707413557695,0.8863095238095238,0.8874191692824507,0.8256352367539269,0.83203125,0.8305559834418609,0.00015,22.69256053119898
LSTM,44,14,0.012188253168548857,0.9975,0.9994047188405842,0.6133062091807092,0.8889880952380952,0.8906043087955994,0.9048129508342148,0.828125,0.8275840802254253,7.5e-05,21.666355380788445
LSTM,44,15,0.008788617295878274,0.9982142857142857,0.9995237881509014,0.6612695583531777,0.8848214285714285,0.8867890678668412,0.9257756917557951,0.8239583333333333,0.8234203524409406,7.5e-05,23.086943386122584
LSTM,44,16,0.005795721688440868,0.9991071428571429,0.999761904738627,0.6230333293088257,0.8907738095238096,0.892107523984445,0.8733534677240338,0.82890625,0.8285877631944524,7.5e-05,23.389870604500175
LSTM,44,17,0.00447641100202288,0.9995833333333334,0.9998809523728592,0.6580984174709079,0.8913690476190477,0.8928655710482075,0.8989180091322244,0.8307291666666666,0.830071043070554,3.75e-05,24.34758847951889
LSTM,44,18,0.004134875124409085,0.9995238095238095,0.9998809523728592,0.6778107285487099,0.888095238095238,0.8897875616582458,0.9427198344596642,0.8276041666666667,0.8276523601431868,3.75e-05,23.059593299403787
LSTM,44,19,0.0034744226293904443,0.9997619047619047,0.9998809523652669,0.6819651683962937,0.8883928571428571,0.8901461164456599,0.930968099135013,0.8302083333333333,0.8297976892641432,3.75e-05,22.34709671884775
LSTM,44,20,0.00364118102760542,0.9996428571428572,0.999940476182383,0.6755049736151705,0.8925595238095239,0.8940990582447309,0.9216165896708844,0.834375,0.8344269982835432,1.875e-05,23.323717629536986
LSTM,44,21,0.0032561391308194116,0.9996428571428572,0.999940476182383,0.6690824460080919,0.8910714285714286,0.8924724379618101,0.9480025614807043,0.8315104166666667,0.8301768618703046,1.875e-05,23.810653753578663
LSTM,44,22,0.0029077184200286864,0.9998214285714285,0.9998809523652669,0.6766824626598723,0.8916666666666667,0.8930492421158936,0.920323053595348,0.8359375,0.8358370212592403,1.875e-05,21.623201429843903
LSTM,44,23,0.0027971737725394114,0.999702380952381,0.9998214285481509,0.6974592849390493,0.8898809523809523,0.8916092006730482,0.9375821006324259,0.8322916666666667,0.8322989431491368,9.375e-06,23.79554545506835
LSTM,44,24,0.002842883886325927,0.9998809523809524,0.9998809523652669,0.6968954470524166,0.8904761904761904,0.8922182627449075,0.9433478659423903,0.8322916666666667,0.8321337840397534,9.375e-06,22.43133602105081
LSTM,44,25,0.0026043510862759182,0.9997619047619047,0.999940476182383,0.6951112502971747,0.8910714285714286,0.8927692561098898,0.9472011570859953,0.834375,0.8340518309313735,9.375e-06,25.370343567803502
