model,seed,class_id,class_name,precision,recall,f1,support
LSTM,49,0,class_0,0.8885350318471309,0.8718749999999972,0.8801261829647968,320
LSTM,49,1,class_1,0.886206896551721,0.8031249999999974,0.8426229508191705,320
LSTM,49,2,class_2,0.9184952978056397,0.915624999999997,0.917057902972893,320
LSTM,49,3,class_3,0.5643564356435624,0.5343749999999983,0.5489566613157104,320
LSTM,49,4,class_4,0.7888563049853349,0.8406249999999973,0.8139183055970772,320
LSTM,49,5,class_5,0.8440111420612789,0.946874999999997,0.8924889543441233,320
LSTM,49,6,class_6,0.5610465116279053,0.603124999999998,0.5813253012043181,320
LSTM,49,7,class_7,0.9182389937106888,0.9124999999999971,0.9153605015668951,320
LSTM,49,8,class_8,0.9377049180327838,0.8937499999999972,0.9151999999994974,320
LSTM,49,9,class_9,0.88926174496644,0.8281249999999973,0.8576051779930253,320
LSTM,49,10,class_10,0.9409937888198728,0.946874999999997,0.9439252336443568,320
LSTM,49,11,class_11,0.8134556574923522,0.8312499999999974,0.8222565687784773,320
