model,seed,class_id,class_name,precision,recall,f1,support
LeNet_LSTM,48,0,class_0,0.9352750809061458,0.9031249999999971,0.918918918918416,320
LeNet_LSTM,48,1,class_1,0.9025787965616019,0.9843749999999969,0.9417040358739375,320
LeNet_LSTM,48,2,class_2,0.8972602739725996,0.8187499999999974,0.8562091503262955,320
LeNet_LSTM,48,3,class_3,0.7473309608540898,0.6562499999999979,0.698835274541929,320
LeNet_LSTM,48,4,class_4,0.9442508710801361,0.8468749999999973,0.8929159802301408,320
LeNet_LSTM,48,5,class_5,0.9395770392749215,0.9718749999999969,0.9554531490010332,320
LeNet_LSTM,48,6,class_6,0.6230769230769214,0.7593749999999976,0.684507042253024,320
LeNet_LSTM,48,7,class_7,0.8445040214477189,0.9843749999999969,0.9090909090904092,320
LeNet_LSTM,48,8,class_8,0.8792569659442696,0.8874999999999972,0.8833592534987195,320
LeNet_LSTM,48,9,class_9,0.9400630914826468,0.931249999999997,0.9356357927781468,320
LeNet_LSTM,48,10,class_10,0.9875776397515497,0.9937499999999968,0.9906542056069734,320
LeNet_LSTM,48,11,class_11,0.9398496240601467,0.7812499999999976,0.853242320818614,320
