model,seed,class_id,class_name,precision,recall,f1,support
LeNet,47,0,class_0,0.9761904761904728,0.8968749999999971,0.9348534201949376,320
LeNet,47,1,class_1,0.8753623188405771,0.943749999999997,0.9082706766912273,320
LeNet,47,2,class_2,0.9235294117647032,0.9812499999999968,0.9515151515146489,320
LeNet,47,3,class_3,0.7704402515723245,0.7656249999999976,0.7680250783694035,320
LeNet,47,4,class_4,0.9069767441860438,0.9749999999999969,0.9397590361440761,320
LeNet,47,5,class_5,0.9055374592833846,0.8687499999999972,0.8867623604460683,320
LeNet,47,6,class_6,0.7578616352201234,0.7531249999999976,0.7554858934164256,320
LeNet,47,7,class_7,0.7416413373860159,0.7624999999999975,0.7519260400611308,320
LeNet,47,8,class_8,0.8553846153846127,0.8687499999999972,0.8620155038754663,320
LeNet,47,9,class_9,0.9036544850498308,0.8499999999999973,0.87600644122333,320
LeNet,47,10,class_10,0.7617554858934145,0.7593749999999976,0.7605633802811876,320
LeNet,47,11,class_11,0.9099999999999969,0.8531249999999972,0.8806451612898201,320
