model,seed,true_label,pred_label,count
MobileNet_V2,48,0,0,300
MobileNet_V2,48,0,1,0
MobileNet_V2,48,0,2,13
MobileNet_V2,48,0,3,0
MobileNet_V2,48,0,4,0
MobileNet_V2,48,0,5,0
MobileNet_V2,48,0,6,0
MobileNet_V2,48,0,7,1
MobileNet_V2,48,0,8,0
MobileNet_V2,48,0,9,0
MobileNet_V2,48,0,10,3
MobileNet_V2,48,0,11,3
MobileNet_V2,48,1,0,0
MobileNet_V2,48,1,1,316
MobileNet_V2,48,1,2,0
MobileNet_V2,48,1,3,0
MobileNet_V2,48,1,4,0
MobileNet_V2,48,1,5,4
MobileNet_V2,48,1,6,0
MobileNet_V2,48,1,7,0
MobileNet_V2,48,1,8,0
MobileNet_V2,48,1,9,0
MobileNet_V2,48,1,10,0
MobileNet_V2,48,1,11,0
MobileNet_V2,48,2,0,3
MobileNet_V2,48,2,1,0
MobileNet_V2,48,2,2,305
MobileNet_V2,48,2,3,0
MobileNet_V2,48,2,4,0
MobileNet_V2,48,2,5,2
MobileNet_V2,48,2,6,0
MobileNet_V2,48,2,7,8
MobileNet_V2,48,2,8,0
MobileNet_V2,48,2,9,0
MobileNet_V2,48,2,10,0
MobileNet_V2,48,2,11,2
MobileNet_V2,48,3,0,6
MobileNet_V2,48,3,1,0
MobileNet_V2,48,3,2,0
MobileNet_V2,48,3,3,192
MobileNet_V2,48,3,4,1
MobileNet_V2,48,3,5,0
MobileNet_V2,48,3,6,104
MobileNet_V2,48,3,7,0
MobileNet_V2,48,3,8,0
MobileNet_V2,48,3,9,0
MobileNet_V2,48,3,10,0
MobileNet_V2,48,3,11,17
MobileNet_V2,48,4,0,11
MobileNet_V2,48,4,1,4
MobileNet_V2,48,4,2,0
MobileNet_V2,48,4,3,5
MobileNet_V2,48,4,4,282
MobileNet_V2,48,4,5,1
MobileNet_V2,48,4,6,9
MobileNet_V2,48,4,7,0
MobileNet_V2,48,4,8,0
MobileNet_V2,48,4,9,8
MobileNet_V2,48,4,10,0
MobileNet_V2,48,4,11,0
MobileNet_V2,48,5,0,0
MobileNet_V2,48,5,1,4
MobileNet_V2,48,5,2,0
MobileNet_V2,48,5,3,0
MobileNet_V2,48,5,4,0
MobileNet_V2,48,5,5,307
MobileNet_V2,48,5,6,0
MobileNet_V2,48,5,7,7
MobileNet_V2,48,5,8,0
MobileNet_V2,48,5,9,0
MobileNet_V2,48,5,10,2
MobileNet_V2,48,5,11,0
MobileNet_V2,48,6,0,0
MobileNet_V2,48,6,1,0
MobileNet_V2,48,6,2,0
MobileNet_V2,48,6,3,41
MobileNet_V2,48,6,4,6
MobileNet_V2,48,6,5,0
MobileNet_V2,48,6,6,266
MobileNet_V2,48,6,7,0
MobileNet_V2,48,6,8,0
MobileNet_V2,48,6,9,0
MobileNet_V2,48,6,10,0
MobileNet_V2,48,6,11,7
MobileNet_V2,48,7,0,0
MobileNet_V2,48,7,1,0
MobileNet_V2,48,7,2,2
MobileNet_V2,48,7,3,0
MobileNet_V2,48,7,4,0
MobileNet_V2,48,7,5,0
MobileNet_V2,48,7,6,0
MobileNet_V2,48,7,7,306
MobileNet_V2,48,7,8,0
MobileNet_V2,48,7,9,0
MobileNet_V2,48,7,10,10
MobileNet_V2,48,7,11,2
MobileNet_V2,48,8,0,0
MobileNet_V2,48,8,1,0
MobileNet_V2,48,8,2,1
MobileNet_V2,48,8,3,0
MobileNet_V2,48,8,4,0
MobileNet_V2,48,8,5,0
MobileNet_V2,48,8,6,0
MobileNet_V2,48,8,7,2
MobileNet_V2,48,8,8,311
MobileNet_V2,48,8,9,0
MobileNet_V2,48,8,10,3
MobileNet_V2,48,8,11,3
MobileNet_V2,48,9,0,0
MobileNet_V2,48,9,1,0
MobileNet_V2,48,9,2,0
MobileNet_V2,48,9,3,0
MobileNet_V2,48,9,4,1
MobileNet_V2,48,9,5,5
MobileNet_V2,48,9,6,0
MobileNet_V2,48,9,7,3
MobileNet_V2,48,9,8,1
MobileNet_V2,48,9,9,307
MobileNet_V2,48,9,10,0
MobileNet_V2,48,9,11,3
MobileNet_V2,48,10,0,0
MobileNet_V2,48,10,1,0
MobileNet_V2,48,10,2,0
MobileNet_V2,48,10,3,0
MobileNet_V2,48,10,4,0
MobileNet_V2,48,10,5,1
MobileNet_V2,48,10,6,0
MobileNet_V2,48,10,7,3
MobileNet_V2,48,10,8,3
MobileNet_V2,48,10,9,0
MobileNet_V2,48,10,10,313
MobileNet_V2,48,10,11,0
MobileNet_V2,48,11,0,0
MobileNet_V2,48,11,1,0
MobileNet_V2,48,11,2,0
MobileNet_V2,48,11,3,1
MobileNet_V2,48,11,4,0
MobileNet_V2,48,11,5,0
MobileNet_V2,48,11,6,1
MobileNet_V2,48,11,7,0
MobileNet_V2,48,11,8,0
MobileNet_V2,48,11,9,0
MobileNet_V2,48,11,10,0
MobileNet_V2,48,11,11,318
