model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
ResNet18,44,1,0.609580732775586,0.7867857142857143,0.8851114187912009,0.4761387560121442,0.8556547619047619,0.8425754591996221,0.45608148705226387,0.8315104166666667,0.825916804280565,0.0007,44.917717134580016
ResNet18,44,2,0.2817028958314941,0.9038690476190476,0.9517554352837124,0.359498185270249,0.9104166666666667,0.9106934946143702,0.29663036992061886,0.8994791666666667,0.8971466385031875,0.0007,41.84108102880418
ResNet18,44,3,0.199589840116955,0.93375,0.9556482116453955,0.5201664460851481,0.9035714285714286,0.9005672097871855,0.39536049053774464,0.8736979166666666,0.8640459664383902,0.0007,42.403621362522244
ResNet18,44,4,0.16336988627201035,0.9458333333333333,0.9546308917211362,0.5621110977004286,0.856547619047619,0.8563246633499139,0.4085996481078534,0.8755208333333333,0.8739684089396634,0.0007,39.016102600842714
ResNet18,44,5,0.135816068649292,0.9564285714285714,0.9810193015290287,0.4575235722869173,0.9101190476190476,0.9104630930709122,0.2939454692301107,0.91328125,0.9131944761359091,0.00035,42.64165726490319
ResNet18,44,6,0.05493363957319941,0.9830952380952381,0.9936350803403728,0.3738708282107474,0.9300595238095238,0.9302366124106785,0.27031120333703884,0.9252604166666667,0.9242003208714098,0.00035,41.131903471425176
ResNet18,44,7,0.046844605689957027,0.9841071428571428,0.9923834406982935,0.45362284220867866,0.9181547619047619,0.9187023728326663,0.32714562523280505,0.9041666666666667,0.9032899578335538,0.00035,42.48260944522917
ResNet18,44,8,0.044590549554143634,0.986845238095238,0.9877858497240951,0.4796094095415532,0.9282738095238096,0.9285919333401539,0.4187388083841005,0.9005208333333333,0.8979614787736131,0.000175,38.26923423819244
ResNet18,44,9,0.02018616190978459,0.9932738095238095,0.9993451953879818,0.4706463925902908,0.930952380952381,0.9313856888936124,0.3212067646839889,0.9236979166666667,0.9229019898735964,0.000175,41.74073712155223
ResNet18,44,10,0.013067270339954466,0.9958333333333333,0.9994643493071362,0.4439051883325059,0.9327380952380953,0.9329760848833099,0.3122930820641083,0.9278645833333333,0.9265796775382972,0.000175,150.63935742899776
ResNet18,44,11,0.009794269062223889,0.9970833333333333,0.9992857985676132,0.5414837614939075,0.9330357142857143,0.9337488701776433,0.3793435142565188,0.9174479166666667,0.9169789146481291,8.75e-05,41.21277888305485
ResNet18,44,12,0.0057639987057163606,0.9980357142857142,0.999940476182383,0.5415064657639543,0.9330357142857143,0.933167099139682,0.37892006261762745,0.9213541666666667,0.9203223395593697,8.75e-05,39.570525757968426
ResNet18,44,13,0.004702536215384801,0.9985714285714286,0.9974994766092178,0.5763326867051802,0.9223214285714286,0.9219273522151746,0.34388871316924063,0.92578125,0.9256977074987915,8.75e-05,41.09513886086643
ResNet18,44,14,0.004205215764897211,0.9988095238095238,0.999940476182383,0.6365977289409662,0.9202380952380952,0.9206820646337092,0.40751536185305937,0.9184895833333333,0.9174465761543739,4.375e-05,40.8438715711236
ResNet18,44,15,0.0015339000665006183,0.9996428571428572,0.9999999999994992,0.5482978013593406,0.9297619047619048,0.9299364330895985,0.3905187358016631,0.9286458333333333,0.9276489634055526,4.375e-05,37.47761193290353
ResNet18,44,16,0.0011143843049094791,0.9997619047619047,0.9999999999994992,0.5935211616484798,0.9330357142857143,0.9330000664003101,0.4379777591654462,0.9268229166666667,0.9252185780804943,4.375e-05,39.17765414901078
ResNet18,44,17,0.000960162870940708,0.9998214285714285,0.999940476182383,0.5998877354582316,0.9342261904761905,0.9345326039233627,0.4202195100872377,0.93125,0.9308711408108472,2.1875e-05,40.70884829200804
ResNet18,44,18,0.0012550341728187742,0.999702380952381,0.9999999999994992,0.619698179303468,0.9336309523809524,0.934034645065808,0.4391859457006684,0.9278645833333333,0.9271527779576437,2.1875e-05,42.06282430328429
ResNet18,44,19,0.0005117674171924591,0.9999404761904762,0.9999999999994992,0.6065669856549687,0.9345238095238095,0.9350004116826783,0.44695220187907914,0.9307291666666667,0.930046913611429,2.1875e-05,40.02194649539888
ResNet18,44,20,0.0006123980099246616,0.9998809523809524,0.9999999999994992,0.602311618028185,0.9330357142857143,0.9332773486050695,0.4145204116527312,0.93203125,0.9313048491205532,1.09375e-05,38.47575343772769
ResNet18,44,21,0.00043385523415747143,0.9999404761904762,0.9999999999994992,0.6110706842521538,0.9321428571428572,0.9324434964478266,0.42755170950297733,0.9328125,0.9324194703222138,1.09375e-05,40.451616141945124
ResNet18,44,22,0.0005219009518623352,0.9998809523809524,0.9999999999994992,0.6088184705767653,0.9336309523809524,0.9339494188497343,0.4436867960060053,0.9291666666666667,0.9287223925546378,1.09375e-05,41.848341446369886
ResNet18,44,23,0.00047919629585175286,0.9999404761904762,0.9999999999994992,0.6279368197695736,0.9342261904761905,0.9346435153700615,0.45545194851707127,0.93125,0.9306267595828067,5.46875e-06,43.482145519927144
ResNet18,44,24,0.00023447886109352113,1.0,0.9999999999994992,0.6163080753150566,0.9342261904761905,0.9346090123020309,0.4360138314447968,0.93359375,0.9330100503167849,5.46875e-06,40.9703833386302
ResNet18,44,25,0.0002180586045696622,1.0,0.9999999999994992,0.6345505787647941,0.9330357142857143,0.9333602541228947,0.43572236998144087,0.9325520833333333,0.9318362512866446,5.46875e-06,39.43100556358695
