model,seed,class_id,class_name,precision,recall,f1,support
ResNet18,49,0,class_0,0.9968553459119465,0.9906249999999969,0.9937304075230078,320
ResNet18,49,1,class_1,0.9380530973451299,0.9937499999999968,0.9650986342938828,320
ResNet18,49,2,class_2,0.993548387096771,0.9624999999999969,0.9777777777772746,320
ResNet18,49,3,class_3,0.6945244956772314,0.7531249999999976,0.7226386806591687,320
ResNet18,49,4,class_4,0.9999999999999966,0.940624999999997,0.9694041867949884,320
ResNet18,49,5,class_5,0.9937304075235078,0.9906249999999969,0.9921752738649116,320
ResNet18,49,6,class_6,0.7222222222222197,0.6499999999999979,0.6842105263152886,320
ResNet18,49,7,class_7,0.9752321981424118,0.9843749999999969,0.9797822706060287,320
ResNet18,49,8,class_8,0.9906542056074735,0.9937499999999968,0.9921996879870163,320
ResNet18,49,9,class_9,0.9999999999999968,0.9968749999999968,0.9984350547725798,320
ResNet18,49,10,class_10,0.9846153846153816,0.9999999999999968,0.9922480620150006,320
ResNet18,49,11,class_11,0.9666666666666637,0.9968749999999968,0.9815384615379585,320
