model,seed,true_label,pred_label,count
ResNet18,50,0,0,311
ResNet18,50,0,1,0
ResNet18,50,0,2,1
ResNet18,50,0,3,3
ResNet18,50,0,4,4
ResNet18,50,0,5,0
ResNet18,50,0,6,1
ResNet18,50,0,7,0
ResNet18,50,0,8,0
ResNet18,50,0,9,0
ResNet18,50,0,10,0
ResNet18,50,0,11,0
ResNet18,50,1,0,1
ResNet18,50,1,1,314
ResNet18,50,1,2,0
ResNet18,50,1,3,2
ResNet18,50,1,4,0
ResNet18,50,1,5,3
ResNet18,50,1,6,0
ResNet18,50,1,7,0
ResNet18,50,1,8,0
ResNet18,50,1,9,0
ResNet18,50,1,10,0
ResNet18,50,1,11,0
ResNet18,50,2,0,0
ResNet18,50,2,1,0
ResNet18,50,2,2,319
ResNet18,50,2,3,0
ResNet18,50,2,4,0
ResNet18,50,2,5,0
ResNet18,50,2,6,1
ResNet18,50,2,7,0
ResNet18,50,2,8,0
ResNet18,50,2,9,0
ResNet18,50,2,10,0
ResNet18,50,2,11,0
ResNet18,50,3,0,0
ResNet18,50,3,1,0
ResNet18,50,3,2,0
ResNet18,50,3,3,221
ResNet18,50,3,4,0
ResNet18,50,3,5,0
ResNet18,50,3,6,98
ResNet18,50,3,7,0
ResNet18,50,3,8,0
ResNet18,50,3,9,0
ResNet18,50,3,10,0
ResNet18,50,3,11,1
ResNet18,50,4,0,0
ResNet18,50,4,1,15
ResNet18,50,4,2,0
ResNet18,50,4,3,1
ResNet18,50,4,4,300
ResNet18,50,4,5,0
ResNet18,50,4,6,4
ResNet18,50,4,7,0
ResNet18,50,4,8,0
ResNet18,50,4,9,0
ResNet18,50,4,10,0
ResNet18,50,4,11,0
ResNet18,50,5,0,1
ResNet18,50,5,1,2
ResNet18,50,5,2,0
ResNet18,50,5,3,0
ResNet18,50,5,4,0
ResNet18,50,5,5,316
ResNet18,50,5,6,0
ResNet18,50,5,7,0
ResNet18,50,5,8,0
ResNet18,50,5,9,0
ResNet18,50,5,10,1
ResNet18,50,5,11,0
ResNet18,50,6,0,1
ResNet18,50,6,1,0
ResNet18,50,6,2,0
ResNet18,50,6,3,39
ResNet18,50,6,4,0
ResNet18,50,6,5,0
ResNet18,50,6,6,276
ResNet18,50,6,7,0
ResNet18,50,6,8,0
ResNet18,50,6,9,0
ResNet18,50,6,10,0
ResNet18,50,6,11,4
ResNet18,50,7,0,2
ResNet18,50,7,1,0
ResNet18,50,7,2,1
ResNet18,50,7,3,0
ResNet18,50,7,4,0
ResNet18,50,7,5,0
ResNet18,50,7,6,0
ResNet18,50,7,7,232
ResNet18,50,7,8,49
ResNet18,50,7,9,0
ResNet18,50,7,10,34
ResNet18,50,7,11,2
ResNet18,50,8,0,0
ResNet18,50,8,1,0
ResNet18,50,8,2,0
ResNet18,50,8,3,0
ResNet18,50,8,4,0
ResNet18,50,8,5,0
ResNet18,50,8,6,0
ResNet18,50,8,7,1
ResNet18,50,8,8,313
ResNet18,50,8,9,0
ResNet18,50,8,10,1
ResNet18,50,8,11,5
ResNet18,50,9,0,0
ResNet18,50,9,1,0
ResNet18,50,9,2,0
ResNet18,50,9,3,0
ResNet18,50,9,4,0
ResNet18,50,9,5,0
ResNet18,50,9,6,0
ResNet18,50,9,7,0
ResNet18,50,9,8,1
ResNet18,50,9,9,314
ResNet18,50,9,10,1
ResNet18,50,9,11,4
ResNet18,50,10,0,0
ResNet18,50,10,1,0
ResNet18,50,10,2,0
ResNet18,50,10,3,0
ResNet18,50,10,4,0
ResNet18,50,10,5,0
ResNet18,50,10,6,0
ResNet18,50,10,7,5
ResNet18,50,10,8,22
ResNet18,50,10,9,0
ResNet18,50,10,10,293
ResNet18,50,10,11,0
ResNet18,50,11,0,0
ResNet18,50,11,1,0
ResNet18,50,11,2,0
ResNet18,50,11,3,0
ResNet18,50,11,4,0
ResNet18,50,11,5,0
ResNet18,50,11,6,0
ResNet18,50,11,7,0
ResNet18,50,11,8,1
ResNet18,50,11,9,0
ResNet18,50,11,10,0
ResNet18,50,11,11,319
