model,seed,class_id,class_name,precision,recall,f1,support
TCN,43,0,class_0,0.8523076923076897,0.8656249999999972,0.8589147286816677,320
TCN,43,1,class_1,0.9314079422382637,0.8062499999999975,0.8643216080397007,320
TCN,43,2,class_2,0.8616714697406315,0.934374999999997,0.896551724137429,320
TCN,43,3,class_3,0.6708860759493649,0.6624999999999979,0.6666666666661645,320
TCN,43,4,class_4,0.8413173652694586,0.8781249999999972,0.8593272171248797,320
TCN,43,5,class_5,0.8092783505154618,0.9812499999999968,0.8870056497170161,320
TCN,43,6,class_6,0.7016949152542349,0.646874999999998,0.6731707317068157,320
TCN,43,7,class_7,0.9187499999999971,0.9187499999999971,0.918749999999497,320
TCN,43,8,class_8,0.9238410596026458,0.8718749999999972,0.8971061093242563,320
TCN,43,9,class_9,0.9122257053291507,0.909374999999997,0.9107981220652248,320
TCN,43,10,class_10,0.8875739644970387,0.937499999999997,0.9118541033429626,320
TCN,43,11,class_11,0.9390681003584195,0.8187499999999974,0.8747913188642739,320
