model,seed,true_label,pred_label,count
TCN,44,0,0,281
TCN,44,0,1,0
TCN,44,0,2,13
TCN,44,0,3,3
TCN,44,0,4,2
TCN,44,0,5,0
TCN,44,0,6,4
TCN,44,0,7,0
TCN,44,0,8,12
TCN,44,0,9,0
TCN,44,0,10,0
TCN,44,0,11,5
TCN,44,1,0,2
TCN,44,1,1,280
TCN,44,1,2,0
TCN,44,1,3,1
TCN,44,1,4,6
TCN,44,1,5,22
TCN,44,1,6,0
TCN,44,1,7,0
TCN,44,1,8,0
TCN,44,1,9,7
TCN,44,1,10,0
TCN,44,1,11,2
TCN,44,2,0,3
TCN,44,2,1,0
TCN,44,2,2,296
TCN,44,2,3,1
TCN,44,2,4,0
TCN,44,2,5,1
TCN,44,2,6,1
TCN,44,2,7,0
TCN,44,2,8,18
TCN,44,2,9,0
TCN,44,2,10,0
TCN,44,2,11,0
TCN,44,3,0,2
TCN,44,3,1,2
TCN,44,3,2,0
TCN,44,3,3,245
TCN,44,3,4,12
TCN,44,3,5,0
TCN,44,3,6,54
TCN,44,3,7,0
TCN,44,3,8,0
TCN,44,3,9,0
TCN,44,3,10,0
TCN,44,3,11,5
TCN,44,4,0,22
TCN,44,4,1,25
TCN,44,4,2,1
TCN,44,4,3,7
TCN,44,4,4,245
TCN,44,4,5,6
TCN,44,4,6,0
TCN,44,4,7,0
TCN,44,4,8,1
TCN,44,4,9,9
TCN,44,4,10,0
TCN,44,4,11,4
TCN,44,5,0,1
TCN,44,5,1,6
TCN,44,5,2,1
TCN,44,5,3,0
TCN,44,5,4,1
TCN,44,5,5,310
TCN,44,5,6,0
TCN,44,5,7,0
TCN,44,5,8,1
TCN,44,5,9,0
TCN,44,5,10,0
TCN,44,5,11,0
TCN,44,6,0,6
TCN,44,6,1,1
TCN,44,6,2,0
TCN,44,6,3,104
TCN,44,6,4,11
TCN,44,6,5,2
TCN,44,6,6,182
TCN,44,6,7,0
TCN,44,6,8,0
TCN,44,6,9,3
TCN,44,6,10,0
TCN,44,6,11,11
TCN,44,7,0,0
TCN,44,7,1,0
TCN,44,7,2,7
TCN,44,7,3,0
TCN,44,7,4,0
TCN,44,7,5,1
TCN,44,7,6,0
TCN,44,7,7,298
TCN,44,7,8,7
TCN,44,7,9,1
TCN,44,7,10,5
TCN,44,7,11,1
TCN,44,8,0,7
TCN,44,8,1,0
TCN,44,8,2,0
TCN,44,8,3,0
TCN,44,8,4,0
TCN,44,8,5,1
TCN,44,8,6,0
TCN,44,8,7,14
TCN,44,8,8,286
TCN,44,8,9,1
TCN,44,8,10,4
TCN,44,8,11,7
TCN,44,9,0,1
TCN,44,9,1,0
TCN,44,9,2,0
TCN,44,9,3,28
TCN,44,9,4,21
TCN,44,9,5,0
TCN,44,9,6,3
TCN,44,9,7,0
TCN,44,9,8,3
TCN,44,9,9,257
TCN,44,9,10,1
TCN,44,9,11,6
TCN,44,10,0,0
TCN,44,10,1,3
TCN,44,10,2,1
TCN,44,10,3,0
TCN,44,10,4,0
TCN,44,10,5,8
TCN,44,10,6,0
TCN,44,10,7,20
TCN,44,10,8,2
TCN,44,10,9,1
TCN,44,10,10,285
TCN,44,10,11,0
TCN,44,11,0,1
TCN,44,11,1,0
TCN,44,11,2,0
TCN,44,11,3,21
TCN,44,11,4,2
TCN,44,11,5,1
TCN,44,11,6,26
TCN,44,11,7,0
TCN,44,11,8,9
TCN,44,11,9,2
TCN,44,11,10,0
TCN,44,11,11,258
