model,seed,true_label,pred_label,count
Transformer,48,0,0,255
Transformer,48,0,1,2
Transformer,48,0,2,34
Transformer,48,0,3,1
Transformer,48,0,4,6
Transformer,48,0,5,10
Transformer,48,0,6,3
Transformer,48,0,7,0
Transformer,48,0,8,3
Transformer,48,0,9,2
Transformer,48,0,10,2
Transformer,48,0,11,2
Transformer,48,1,0,1
Transformer,48,1,1,211
Transformer,48,1,2,1
Transformer,48,1,3,0
Transformer,48,1,4,20
Transformer,48,1,5,55
Transformer,48,1,6,5
Transformer,48,1,7,9
Transformer,48,1,8,0
Transformer,48,1,9,11
Transformer,48,1,10,4
Transformer,48,1,11,3
Transformer,48,2,0,52
Transformer,48,2,1,1
Transformer,48,2,2,207
Transformer,48,2,3,1
Transformer,48,2,4,0
Transformer,48,2,5,6
Transformer,48,2,6,1
Transformer,48,2,7,42
Transformer,48,2,8,3
Transformer,48,2,9,0
Transformer,48,2,10,5
Transformer,48,2,11,2
Transformer,48,3,0,11
Transformer,48,3,1,1
Transformer,48,3,2,1
Transformer,48,3,3,166
Transformer,48,3,4,6
Transformer,48,3,5,1
Transformer,48,3,6,100
Transformer,48,3,7,8
Transformer,48,3,8,1
Transformer,48,3,9,15
Transformer,48,3,10,1
Transformer,48,3,11,9
Transformer,48,4,0,28
Transformer,48,4,1,62
Transformer,48,4,2,0
Transformer,48,4,3,12
Transformer,48,4,4,155
Transformer,48,4,5,16
Transformer,48,4,6,6
Transformer,48,4,7,1
Transformer,48,4,8,0
Transformer,48,4,9,30
Transformer,48,4,10,4
Transformer,48,4,11,6
Transformer,48,5,0,3
Transformer,48,5,1,39
Transformer,48,5,2,0
Transformer,48,5,3,1
Transformer,48,5,4,9
Transformer,48,5,5,251
Transformer,48,5,6,2
Transformer,48,5,7,1
Transformer,48,5,8,0
Transformer,48,5,9,2
Transformer,48,5,10,11
Transformer,48,5,11,1
Transformer,48,6,0,8
Transformer,48,6,1,14
Transformer,48,6,2,1
Transformer,48,6,3,76
Transformer,48,6,4,14
Transformer,48,6,5,3
Transformer,48,6,6,185
Transformer,48,6,7,4
Transformer,48,6,8,0
Transformer,48,6,9,8
Transformer,48,6,10,0
Transformer,48,6,11,7
Transformer,48,7,0,13
Transformer,48,7,1,1
Transformer,48,7,2,1
Transformer,48,7,3,1
Transformer,48,7,4,1
Transformer,48,7,5,2
Transformer,48,7,6,3
Transformer,48,7,7,220
Transformer,48,7,8,14
Transformer,48,7,9,2
Transformer,48,7,10,59
Transformer,48,7,11,3
Transformer,48,8,0,5
Transformer,48,8,1,0
Transformer,48,8,2,11
Transformer,48,8,3,0
Transformer,48,8,4,0
Transformer,48,8,5,0
Transformer,48,8,6,0
Transformer,48,8,7,1
Transformer,48,8,8,280
Transformer,48,8,9,1
Transformer,48,8,10,0
Transformer,48,8,11,22
Transformer,48,9,0,14
Transformer,48,9,1,18
Transformer,48,9,2,0
Transformer,48,9,3,4
Transformer,48,9,4,22
Transformer,48,9,5,5
Transformer,48,9,6,4
Transformer,48,9,7,5
Transformer,48,9,8,4
Transformer,48,9,9,220
Transformer,48,9,10,14
Transformer,48,9,11,10
Transformer,48,10,0,12
Transformer,48,10,1,0
Transformer,48,10,2,3
Transformer,48,10,3,1
Transformer,48,10,4,1
Transformer,48,10,5,6
Transformer,48,10,6,3
Transformer,48,10,7,91
Transformer,48,10,8,20
Transformer,48,10,9,3
Transformer,48,10,10,177
Transformer,48,10,11,3
Transformer,48,11,0,3
Transformer,48,11,1,0
Transformer,48,11,2,0
Transformer,48,11,3,27
Transformer,48,11,4,0
Transformer,48,11,5,0
Transformer,48,11,6,10
Transformer,48,11,7,1
Transformer,48,11,8,0
Transformer,48,11,9,12
Transformer,48,11,10,1
Transformer,48,11,11,266
