model,seed,class_id,class_name,precision,recall,f1,support
Transformer,51,0,class_0,0.6802168021680198,0.7843749999999975,0.7285921625539271,320
Transformer,51,1,class_1,0.7359735973597334,0.6968749999999978,0.7158908507218092,320
Transformer,51,2,class_2,0.8551532033426159,0.959374999999997,0.9042709867447124,320
Transformer,51,3,class_3,0.6349206349206329,0.624999999999998,0.6299212598420176,320
Transformer,51,4,class_4,0.7231270358306164,0.6937499999999978,0.7081339712913638,320
Transformer,51,5,class_5,0.764890282131659,0.7624999999999975,0.7636932707350218,320
Transformer,51,6,class_6,0.6355932203389812,0.7031249999999978,0.6676557863496475,320
Transformer,51,7,class_7,0.6761565836298907,0.5937499999999981,0.6322795341093168,320
Transformer,51,8,class_8,0.8211143695014638,0.8749999999999972,0.847201210286941,320
Transformer,51,9,class_9,0.8280701754385935,0.7374999999999976,0.7801652892556973,320
Transformer,51,10,class_10,0.6177474402730354,0.5656249999999982,0.5905383360517013,320
Transformer,51,11,class_11,0.9044585987261117,0.8874999999999972,0.8958990536272574,320
