model,seed,class_id,class_name,precision,recall,f1,support
LeNet,42,0,class_0,0.910404624277454,0.9843749999999968,0.9459459459454438,320
LeNet,42,1,class_1,0.990291262135919,0.9562499999999968,0.97297297297247,320
LeNet,42,2,class_2,0.9837662337662304,0.946874999999997,0.964968152865739,320
LeNet,42,3,class_3,0.6471962616822414,0.8656249999999972,0.7406417112294549,320
LeNet,42,4,class_4,0.9809523809523778,0.965624999999997,0.9732283464561898,320
LeNet,42,5,class_5,0.9411764705882324,0.949999999999997,0.9455676516324674,320
LeNet,42,6,class_6,0.7981651376146752,0.5437499999999983,0.6468401486984002,320
LeNet,42,7,class_7,0.7905982905982872,0.5781249999999981,0.6678700361005926,320
LeNet,42,8,class_8,0.724310776942354,0.9031249999999972,0.8038942976351088,320
LeNet,42,9,class_9,0.908771929824558,0.8093749999999974,0.8561983471069368,320
LeNet,42,10,class_10,0.796666666666664,0.7468749999999976,0.7709677419349817,320
LeNet,42,11,class_11,0.7759999999999979,0.909374999999997,0.8374100719419467,320
ResNet18,42,0,class_0,0.97852760736196,0.9968749999999968,0.9876160990707042,320
ResNet18,42,1,class_1,0.9907120743034024,0.9999999999999968,0.9953343701394656,320
ResNet18,42,2,class_2,0.955223880597012,0.9999999999999968,0.9770992366407184,320
ResNet18,42,3,class_3,0.7153652392947085,0.8874999999999972,0.7921896792184713,320
ResNet18,42,4,class_4,0.9999999999999968,0.9968749999999968,0.9984350547725798,320
ResNet18,42,5,class_5,0.9999999999999968,0.9874999999999968,0.993710691823396,320
ResNet18,42,6,class_6,0.8253968253968221,0.6499999999999979,0.7272727272722317,320
ResNet18,42,7,class_7,0.9463414634146295,0.6062499999999981,0.7390476190471401,320
ResNet18,42,8,class_8,0.7860696517412915,0.9874999999999968,0.8753462603873156,320
ResNet18,42,9,class_9,0.9929824561403472,0.8843749999999971,0.9355371900821432,320
ResNet18,42,10,class_10,0.8984126984126954,0.8843749999999971,0.8913385826766624,320
ResNet18,42,11,class_11,0.8082191780821895,0.921874999999997,0.8613138686126381,320
MobileNet_V2,42,0,class_0,0.97852760736196,0.9968749999999968,0.9876160990707042,320
MobileNet_V2,42,1,class_1,0.9999999999999968,0.9906249999999968,0.9952904238613492,320
MobileNet_V2,42,2,class_2,0.96656534954407,0.9937499999999968,0.9799691833585108,320
MobileNet_V2,42,3,class_3,0.6512702078521925,0.8812499999999972,0.7490039840632543,320
MobileNet_V2,42,4,class_4,0.9968749999999968,0.9968749999999968,0.9968749999994968,320
MobileNet_V2,42,5,class_5,0.9999999999999968,0.9812499999999968,0.9905362776020206,320
MobileNet_V2,42,6,class_6,0.8066037735849019,0.5343749999999983,0.642857142856661,320
MobileNet_V2,42,7,class_7,0.9377990430621964,0.612499999999998,0.7410207939503699,320
MobileNet_V2,42,8,class_8,0.7803030303030283,0.965624999999997,0.863128491619615,320
MobileNet_V2,42,9,class_9,0.971698113207544,0.965624999999997,0.9686520376170517,320
MobileNet_V2,42,10,class_10,0.8695652173913015,0.8749999999999972,0.8722741433016779,320
MobileNet_V2,42,11,class_11,0.8575581395348811,0.921874999999997,0.8885542168669677,320
EfficientNet_B0,42,0,class_0,0.9845679012345648,0.9968749999999968,0.9906832298131616,320
EfficientNet_B0,42,1,class_1,0.9999999999999968,0.9968749999999968,0.9984350547725798,320
EfficientNet_B0,42,2,class_2,0.957831325301202,0.9937499999999968,0.9754601226988836,320
EfficientNet_B0,42,3,class_3,0.6713947990543719,0.8874999999999972,0.764468371466533,320
EfficientNet_B0,42,4,class_4,0.9907120743034024,0.9999999999999968,0.9953343701394656,320
EfficientNet_B0,42,5,class_5,0.9999999999999968,0.9937499999999968,0.9968652037612522,320
EfficientNet_B0,42,6,class_6,0.8264840182648364,0.5656249999999982,0.6716141001850437,320
EfficientNet_B0,42,7,class_7,0.924528301886788,0.612499999999998,0.7368421052626757,320
EfficientNet_B0,42,8,class_8,0.7572815533980564,0.9749999999999968,0.8524590163929482,320
EfficientNet_B0,42,9,class_9,0.984423676012458,0.9874999999999968,0.985959438377032,320
EfficientNet_B0,42,10,class_10,0.9383561643835584,0.8562499999999973,0.8954248366008053,320
EfficientNet_B0,42,11,class_11,0.8811594202898525,0.949999999999997,0.914285714285212,320
LSTM,42,0,class_0,0.8547008547008522,0.937499999999997,0.8941877794331794,320
LSTM,42,1,class_1,0.9021406727828718,0.921874999999997,0.911901081916035,320
LSTM,42,2,class_2,0.9470404984423646,0.949999999999997,0.9485179407171256,320
LSTM,42,3,class_3,0.6484374999999982,0.7781249999999975,0.7073863636358656,320
LSTM,42,4,class_4,0.8397626112759619,0.8843749999999971,0.861491628614414,320
LSTM,42,5,class_5,0.9261538461538432,0.940624999999997,0.9333333333328304,320
LSTM,42,6,class_6,0.6819923371647483,0.5562499999999982,0.6127366609289351,320
LSTM,42,7,class_7,0.9298892988929854,0.7874999999999975,0.8527918781720892,320
LSTM,42,8,class_8,0.9102564102564072,0.8874999999999972,0.898734177214687,320
LSTM,42,9,class_9,0.93037974683544,0.9187499999999972,0.9245283018862896,320
LSTM,42,10,class_10,0.937888198757761,0.943749999999997,0.940809968846849,320
LSTM,42,11,class_11,0.8338658146964829,0.8156249999999974,0.8246445497625305,320
GRU,42,0,class_0,0.8005319148936149,0.940624999999997,0.8649425287351329,320
GRU,42,1,class_1,0.9006410256410227,0.8781249999999972,0.8892405063286111,320
GRU,42,2,class_2,0.9743589743589712,0.949999999999997,0.9620253164551932,320
GRU,42,3,class_3,0.624365482233501,0.7687499999999975,0.6890756302516042,320
GRU,42,4,class_4,0.8520710059171572,0.8999999999999971,0.8753799392092241,320
GRU,42,5,class_5,0.8952095808383206,0.934374999999997,0.9143730886845124,320
GRU,42,6,class_6,0.7075098814229221,0.5593749999999982,0.6247818499122446,320
GRU,42,7,class_7,0.852830188679242,0.7062499999999977,0.7726495726490744,320
GRU,42,8,class_8,0.908771929824558,0.8093749999999974,0.8561983471069368,320
GRU,42,9,class_9,0.935064935064932,0.8999999999999971,0.9171974522287966,320
GRU,42,10,class_10,0.8734939759036118,0.9062499999999972,0.8895705521467366,320
GRU,42,11,class_11,0.842900302114801,0.8718749999999972,0.8571428571423546,320
CNN_LSTM,42,0,class_0,0.9114285714285688,0.9968749999999968,0.9522388059696474,320
CNN_LSTM,42,1,class_1,0.9999999999999968,0.9937499999999968,0.9968652037612522,320
CNN_LSTM,42,2,class_2,0.9059829059829032,0.9937499999999968,0.9478390461992,320
CNN_LSTM,42,3,class_3,0.5860655737704906,0.8937499999999972,0.7079207920787276,320
