model,seed,selected_epoch,selection_metric,best_val_f1,best_val_acc,best_val_loss,test_accuracy,test_macro_f1,checkpoint_path
LeNet,42,18,best_val_f1_max,0.8452228222747932,0.8446428571428571,0.6708285158494358,0.8466145833333333,0.8438754520433109,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed42/subject_seed42/checkpoints/LeNet_seed42_best.pt
ResNet18,42,23,best_val_f1_max,0.92458564125844,0.924702380952381,0.562384121975617,0.9002604166666667,0.8978534483119556,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed42/subject_seed42/checkpoints/ResNet18_seed42_best.pt
MobileNet_V2,42,13,best_val_f1_max,0.9271529226406018,0.9273809523809524,0.2828145353495886,0.89296875,0.8896481495139733,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed42/subject_seed42/checkpoints/MobileNet_V2_seed42_best.pt
EfficientNet_B0,42,17,best_val_f1_max,0.9250871570809668,0.925,0.3697225163091562,0.9013020833333332,0.898152630312966,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed42/subject_seed42/checkpoints/EfficientNet_B0_seed42_best.pt
LSTM,42,25,best_val_f1_max,0.8459842444337401,0.8467261904761905,0.8957372441490103,0.86015625,0.8592553053717359,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed42/subject_seed42/checkpoints/LSTM_seed42_best.pt
GRU,42,20,best_val_f1_max,0.8462094413193535,0.8464285714285714,0.8536027722809064,0.84375,0.8427148034042018,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed42/subject_seed42/checkpoints/GRU_seed42_best.pt
CNN_LSTM,42,22,best_val_f1_max,0.9238653753444844,0.9241071428571428,0.4259840418455063,0.8981770833333333,0.8970080741567951,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed42/subject_seed42/checkpoints/CNN_LSTM_seed42_best.pt
LeNet_LSTM,42,18,best_val_f1_max,0.9063231808944544,0.9071428571428573,0.4253678763906161,0.8989583333333333,0.8982716566960723,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed42/subject_seed42/checkpoints/LeNet_LSTM_seed42_best.pt
TCN,42,23,best_val_f1_max,0.8514074060699279,0.8514880952380952,1.3583889990800382,0.8315104166666667,0.8315761642682457,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed42/subject_seed42/checkpoints/TCN_seed42_best.pt
Transformer,42,24,best_val_f1_max,0.7019784873751228,0.7032738095238096,2.38078789712423,0.7252604166666666,0.7183564205879626,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed42/subject_seed42/checkpoints/Transformer_seed42_best.pt
LeNet,43,25,best_val_f1_max,0.8877379221660111,0.8872023809523809,0.4924218962143684,0.871875,0.8708893885617055,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed43/subject_seed43/checkpoints/LeNet_seed43_best.pt
ResNet18,43,14,best_val_f1_max,0.9387235881632882,0.9386904761904762,0.3747065326533608,0.9028645833333332,0.9021678386815192,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed43/subject_seed43/checkpoints/ResNet18_seed43_best.pt
MobileNet_V2,43,24,best_val_f1_max,0.933191939974718,0.9333333333333332,0.4427196591156348,0.91640625,0.9165119600971794,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed43/subject_seed43/checkpoints/MobileNet_V2_seed43_best.pt
