model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
CNN_LSTM,temporal,0.9189583333333332,0.9198858989082908,0.9238989834881858,0.9189583333333308,7202.419836010784,3.798491391353309,11712204.0,11.712204,3.729664813727141,268.12060867225136,2.2208100726129487,450.2861421298515
TCN,temporal,0.7697916666666667,0.7698445342973089,0.7835179343638075,0.7697916666666647,2372.8819162044674,0.6956789875403047,11543564.0,11.543564,0.9755956567823888,1025.0148133070818,0.0491290068021044,20354.573908405688
ResNet18,cnn,0.8947916666666667,0.8934497452166329,0.9024638968605666,0.8947916666666643,2465.776303017512,0.3606730373576283,11726184.0,11.726184,2.479224558919668,403.3519256665293,0.0937129202065989,10670.887192453358
EfficientNet_B0,cnn,0.856875,0.84906140144317,0.8802538165079805,0.8568749999999978,6148.83495916985,0.8510368992574513,5310724.0,5.310724,6.7597820982337,147.93376257813037,0.2320335217518732,4309.722114502738
LSTM,temporal,0.8358333333333333,0.8371600627721953,0.8407725333091901,0.8358333333333312,952.4728963039817,0.2951101749204099,1844748.0,1.844748,3.044080380350352,328.5064371016732,0.0991283706389367,10087.9293541743
GRU,temporal,0.8141666666666667,0.8137763223166551,0.8261380351517472,0.8141666666666647,948.0868117585778,0.150327367009595,1516044.0,1.516044,2.552583385258913,391.7599737485435,0.0828181870747357,12074.642482786932
AlexNet,cnn,0.8841666666666667,0.8825808669591056,0.8844165101045401,0.8841666666666645,688.4123169891536,0.167800486087799,35907724.0,35.907724,0.8600481227040291,1162.7256354632298,0.0317093625199049,31536.42711588
MobileNet_V2,cnn,0.8822916666666667,0.8800139714235639,0.8882097308214365,0.8822916666666645,2165.342971287668,0.288486311910674,1979768.0,1.979768,5.22352172061801,191.4417233210408,0.1713121560169384,5837.297383036412
LeNet,cnn,0.8708333333333333,0.8682412785376848,0.8751988987316893,0.870833333333331,428.6848208494485,0.0156206515384837,342448.0,0.342448,0.7783714309334755,1284.7336891601128,0.0275549903744831,36291.06693232719
Transformer,attention,0.7164583333333333,0.7091318692927667,0.7386338683646163,0.7164583333333315,3039.208263492212,0.2412594854831695,618636.0,0.618636,0.9396781958639622,1064.1941085805197,0.0368054409045726,27169.89595621888
LeNet_LSTM,temporal,0.8916666666666667,0.8911866508980874,0.8966033059611709,0.8916666666666644,598.1049896348268,0.2729384810663759,496796.0,0.496796,0.6980167143046856,1432.630450685022,0.1716190652223304,5826.858447833359
